translation,Surah,Juz
و از ميان قوم موسى جماعتى هستند كه به حق راهنمايى مى‌كنند و به حق داورى مى‌نمايند.,159,9
و آنان را به دوازده عشيره كه هر يك امتى بودند تقسيم كرديم، و به موسى -وقتى قومش از او آب خواستند- وحى كرديم كه با عصايت بر آن تخته سنگ بزن. پس، از آن، دوازده چشمه جوشيد. هر گروهى آبشخور خود را بشناخت؛ و ابر را بر فراز آنان سايبان كرديم، و گزانگبين و بلدرچين بر ايشان فرو فرستاديم. از چيزهاى پاكيزه‌اى كه روزيتان كرده‌ايم بخوريد. و بر ما ستم نكردند، ليكن بر خودشان ستم مى‌كردند.,160,9
و [ياد كن‌] هنگامى را كه بديشان گفته شد: «در اين شهر سكونت گزينيد، و از آن -هر جا كه خواستيد- بخوريد، و بگوييد: [خداوندا،] گناهان ما را فرو ريز. و سجده‌كنان از دروازه [شهر] درآييد، تا گناهان شما را بر شما ببخشاييم [و] به زودى بر [اجر] نيكوكاران بيفزاييم.»,161,9
پس، كسانى از آنان كه ستم كردند، سخنى را كه به ايشان گفته شده بود به سخن ديگرى تبديل كردند. پس به سزاى آنكه ستم مى‌ورزيدند، عذابى از آسمان بر آنان فرو فرستاديم.,162,9
و از اهالى آن شهرى كه كنار دريا بود، از ايشان جويا شو: آنگاه كه به [حكم‌] روز شنبه تجاوز مى‌كردند؛ آنگاه كه روز شنبه آنان، ماهيهايشان روى آب مى‌آمدند، و روزهاى غير شنبه به سوى آنان نمى‌آمدند. اين گونه ما آنان را به سبب آنكه نافرمانى مى‌كردند، مى‌آزموديم.,163,9
و آنگاه كه گروهى از ايشان گفتند: «براى چه قومى را كه خدا هلاك‌كننده ايشان است، يا آنان را به عذابى سخت عذاب خواهد كرد، پند مى‌دهيد؟» گفتند: «تا معذرتى پيش پروردگارتان باشد، و شايد كه آنان پرهيزگارى كنند.»,164,9
پس هنگامى كه آنچه را بدان تذكر داده شده بودند، از ياد بردند، كسانى را كه از [كارِ] بد باز مى‌داشتند نجات داديم؛ و كسانى را كه ستم كردند، به سزاى آنكه نافرمانى مى‌كردند، به عذابى شديد گرفتار كرديم.,165,9
نه كسانى كه از اهل كتاب كافر شده‌اند، و نه مشركان [هيچ كدام‌] دوست نمى‌دارند خيرى از جانب پروردگارتان بر شما فرود آيد، با آنكه خدا هر كه را خواهد به رحمت خود اختصاص دهد، و خدا داراى فزون‌بخشى عظيم است.,105,1
و چون از آنچه از آن نهى شده بودند سرپيچى كردند، به آنان گفتيم: «بوزينگانى رانده‌شده باشيد.»,166,9
و [ياد كن‌] هنگامى را كه پروردگارت اعلام داشت كه تا روز قيامت بر آنان [=يهوديان‌] كسانى را خواهد گماشت كه بديشان عذاب سخت بچشانند. آرى، پروردگار تو زودكيفر است و همو آمرزنده بسيار مهربان است.,167,9
و آنان را در زمين به صورت گروه‌هايى پراكنده ساختيم: برخى از آنان درستكارند و برخى از آنان جز اينند. و آنها را به خوشيها و ناخوشيها آزموديم، باشد كه ايشان بازگردند.,168,9
آنگاه بعد از آنان، جانشينانى وارث كتاب [آسمانى‌] شدند كه متاع اين دنياى پست را مى‌گيرند و مى‌گويند: «بخشيده خواهيم شد.» و اگر متاعى مانند آن به ايشان برسد [باز] آن را مى‌ستانند. آيا از آنان پيمان كتاب [آسمانى‌] گرفته نشده كه جز به حق نسبت به خدا سخن نگويند، با اينكه آنچه را كه در آن [كتاب‌] است آموخته‌اند؟ و سراى آخرت براى كسانى كه پروا پيشه مى‌كنند بهتر است. آيا باز تعقّل نمى‌كنيد؟,169,9
و كسانى كه به كتاب [آسمانى‌] چنگ درمى‌زنند و نماز برپا داشته‌اند [بدانند كه‌] ما اجر درستكاران را تباه نخواهيم كرد.,170,9
و [ياد كن‌] هنگامى را كه كوه [طور] را بر فرازشان سايبان‌آسا، برافراشتيم، و چنان پنداشتند كه [كوه‌] بر سرشان فرو خواهد افتاد. [و گفتيم:] آنچه را كه به شما داده‌ايم به جدّ و جهد بگيريد، و آنچه را در آن است به ياد داشته باشيد. شايد كه پرهيزگار شويد.,171,9
و هنگامى را كه پروردگارت از پشت فرزندان آدم، ذريه آنان را برگرفت و ايشان را بر خودشان گواه ساخت كه آيا پروردگار شما نيستم؟ گفتند: «چرا، گواهى داديم» تا مبادا روز قيامت بگوييد ما از اين [امر] غافل بوديم.,172,9
يا بگوييد پدران ما پيش از اين مشرك بوده‌اند و ما فرزندانى پس از ايشان بوديم. آيا ما را به خاطر آنچه باطل‌انديشان انجام داده‌اند هلاك مى‌كنى؟,173,9
و اينگونه آيات [خود] را به تفصيل بيان مى‌كنيم، و باشد كه آنان [به سوى حق‌] بازگردند.,174,9
و خبر آن كس را كه آيات خود را به او داده بوديم براى آنان بخوان كه از آن عارى گشت؛ آنگاه شيطان، او را دنبال كرد و از گمراهان شد.,175,9
هر حكمى را نسخ كنيم، يا آن را به [دست‌] فراموشى بسپاريم، بهتر از آن، يا مانندش را مى‌آوريم؛ مگر ندانستى كه خدا بر هر كارى تواناست؟,106,1
و اگر مى‌خواستيم، قدر او را به وسيله آن [آيات‌] بالا مى‌برديم، اما او به زمين [=دنيا] گراييد و از هواى نَفْس خود پيروى كرد. از اين رو داستانش چون داستان سگ است [كه‌] اگر بر آن حمله‌ور شوى زبان از كام برآورد، و اگر آن را رها كنى [باز هم‌] زبان از كام برآورد. اين، مَثَل آن گروهى است كه آيات ما را تكذيب كردند. پس اين داستان را [براى آنان‌] حكايت كن، شايد كه آنان بينديشند.,176,9
چه زشت است داستان گروهى كه آيات ما را تكذيب و به خود ستم مى‌نمودند.,177,9
هر كه را خدا هدايت كند، او راه‌يافته است؛ و كسانى را كه گمراه نمايد، آنان خود زيانكارانند.,178,9
و در حقيقت، بسيارى از جنّيان و آدميان را براى دوزخ آفريده‌ايم. [چرا كه‌] دلهايى دارند كه با آن [حقايق را] دريافت نمى‌كنند، و چشمانى دارند كه با آنها نمى‌بينند، و گوشهايى دارند كه با آنها نمى‌شنوند. آنان همانند چهارپايان بلكه گمراه‌ترند. [آرى،] آنها همان غافل‌ماندگانند.,179,9
و نامهاى نيكو به خدا اختصاص دارد، پس او را با آنها بخوانيد، و كسانى را كه در مورد نامهاى او به كژى مى‌گرايند رها كنيد. زودا كه به [سزاى‌] آنچه انجام مى‌دادند كيفر خواهند يافت.,180,9
